File,Pin,Time,Depth
cast 1 sta 1,1,16:00:40,52
cast 1 sta 1,2,16:08:00,50
cast 1 sta 1,3,16:09:06,40
cast 1 sta 1,4,16:10:06,30
cast 1 sta 1,5,16:11:06,20
cast 1 sta 1,6,16:11:56,10
cast 1 sta 1,7,16:12:23,5
cast 2 sta 24,1,16:07:33,900
cast 2 sta 24,2,16:10:53,799
cast 2 sta 24,3,16:14:00,699
cast 2 sta 24,4,16:17:14,599
cast 2 sta 24,5,16:20:20,499
cast 2 sta 24,6,16:26:41,300
cast 2 sta 24,7,16:30:18,184
cast 2 sta 24,8,16:33:00,99
cast 2 sta 24,9,16:34:13,59
cast 2 sta 24,10,16:35:08,30
